,ADD_LIKE_BINARY_1,ADD_LIKE_BINARY_2,ADD_LIKE_BINARY_3,ADD_LIKE_BINARY_4,ADD_LIKE_BINARY_5,ADD_LIKE_BINARY_6,AGE,LIVING,STATE,GENDER
0,2.0,2.0,2.0,1.0,1.0,2.0,35,3,4,2
1,1.0,1.0,1.0,1.0,1.0,1.0,36,2,32,2
2,1.0,1.0,2.0,1.0,1.0,1.0,19,3,32,2
3,1.0,1.0,1.0,1.0,1.0,1.0,22,3,30,2
4,1.0,1.0,1.0,1.0,1.0,1.0,33,2,5,2
5,1.0,1.0,1.0,1.0,1.0,1.0,39,3,21,1
6,1.0,1.0,1.0,1.0,1.0,1.0,38,3,4,1
7,1.0,1.0,1.0,1.0,1.0,1.0,52,2,38,2
8,1.0,1.0,2.0,2.0,2.0,1.0,20,4,10,1
9,2.0,1.0,2.0,1.0,1.0,1.0,43,3,4,1
10,2.0,2.0,2.0,2.0,2.0,2.0,20,3,0,1
11,1.0,1.0,1.0,1.0,1.0,1.0,31,2,32,1
12,1.0,1.0,1.0,1.0,1.0,1.0,22,2,38,2
13,1.0,1.0,1.0,1.0,1.0,1.0,20,2,13,2
14,2.0,2.0,2.0,2.0,2.0,2.0,19,2,9,1
15,1.0,1.0,1.0,1.0,1.0,1.0,21,3,13,2
16,1.0,1.0,1.0,1.0,1.0,2.0,46,1,48,2
17,2.0,2.0,2.0,2.0,2.0,2.0,41,2,33,2
18,1.0,1.0,1.0,1.0,1.0,1.0,20,2,4,1
19,2.0,2.0,2.0,2.0,2.0,2.0,20,2,13,2
20,1.0,1.0,1.0,1.0,1.0,1.0,51,2,5,1
21,1.0,1.0,1.0,1.0,1.0,1.0,50,2,4,1
22,1.0,1.0,1.0,1.0,1.0,1.0,38,2,33,1
23,1.0,1.0,2.0,1.0,2.0,1.0,36,2,20,1
24,1.0,1.0,1.0,1.0,1.0,1.0,45,3,4,1
25,2.0,2.0,2.0,2.0,2.0,2.0,20,4,1,2
26,1.0,1.0,1.0,1.0,1.0,1.0,37,2,38,2
27,1.0,1.0,1.0,1.0,1.0,1.0,27,2,38,1
28,1.0,1.0,1.0,1.0,1.0,1.0,22,2,38,1
29,2.0,2.0,1.0,1.0,1.0,2.0,51,3,21,1
30,1.0,1.0,2.0,1.0,1.0,1.0,23,2,0,2
31,1.0,1.0,1.0,1.0,1.0,1.0,24,1,6,1
32,2.0,2.0,2.0,2.0,2.0,2.0,24,4,25,1
33,1.0,1.0,1.0,1.0,1.0,1.0,47,3,32,1
34,1.0,1.0,1.0,1.0,1.0,1.0,33,3,32,1
35,1.0,1.0,1.0,1.0,1.0,1.0,25,1,14,1
36,2.0,2.0,1.0,1.0,1.0,1.0,40,1,22,1
37,1.0,1.0,1.0,1.0,1.0,1.0,18,2,4,2
38,2.0,2.0,2.0,1.0,1.0,1.0,21,1,35,1
39,1.0,1.0,1.0,1.0,1.0,1.0,35,3,32,1
40,1.0,1.0,2.0,1.0,1.0,1.0,20,3,27,1
41,1.0,1.0,1.0,1.0,1.0,1.0,25,1,3,1
42,1.0,1.0,1.0,1.0,1.0,1.0,34,2,10,2
43,1.0,1.0,1.0,1.0,1.0,1.0,43,2,4,2
44,1.0,2.0,1.0,1.0,2.0,1.0,35,1,47,2
45,1.0,1.0,1.0,1.0,1.0,1.0,18,3,22,2
46,1.0,1.0,2.0,1.0,2.0,2.0,28,1,9,2
47,1.0,1.0,1.0,1.0,1.0,1.0,31,2,4,2
48,1.0,1.0,2.0,2.0,2.0,1.0,31,3,33,2
49,2.0,2.0,2.0,2.0,2.0,2.0,18,2,22,1
50,2.0,1.0,1.0,2.0,2.0,2.0,20,1,25,1
51,1.0,1.0,1.0,1.0,1.0,1.0,24,3,32,1
52,1.0,1.0,1.0,1.0,1.0,1.0,31,2,43,2
53,1.0,1.0,1.0,1.0,1.0,1.0,21,1,10,1
54,2.0,1.0,1.0,1.0,2.0,2.0,25,3,23,1
